
qw1l	tợ
stml	sựm
stvl	sựp
strl	sựt

st1o	sựa
stuo	sượu
stjo	sượi
stco	sược
stfo	sượng
stno	sượn
stmo	sượm
stvo	sượp
stro	sượt

sp1l	sụ
spul	sụu
spjl	sụi
spcl	sục
spfl	sụng
spnl	sụn
spml	sụm
spvl	sụp
sprl	sụt

sp1o	sụa
spuo	suộu
spjo	suội
spco	suộc
spfo	suộng
spno	suộn
spmo	suộm
spvo	suộp
spro	suột

xw1l	xợ
xwul	xợu
xwjl	xợi
xwcl	xợc
xwfl	xợng
xwnl	xợn
xwml	xợm
xwvl	xợp
xwrl	xợt

xw1o	xuợ
xwuo	xuợu
xwjo	xuợi
xwco	xuợc
xwfo	xuợng
xwno	xuợn
xwmo	xuợm
xwvo	xuợp
xwro	xuợt

xo1l	xọ
xoul	xọu
xojl	xọi
xocl	xọc
xofl	xọng
xonl	xọn
xoml	xọm
xovl	xọp
xorl	xọt

xo1o	xoọ
xouo	xoọu
xojo	xoọi
xoco	xoọc
xofo	xoọng
xono	xoọn
xomo	xoọm
xovo	xoọp
xoro	xoọt

xa1l	xạ
xaul	xạo
xajl	xại
xacl	xạc
xafl	xạng
xanl	xạn
xaml	xạm
xavl	xạp
xarl	xạt

xa1o	xoạ
xauo	xoạo
xajo	xoại
xaco	xoạc
xafo	xoạng
xano	xoạn
xamo	xoạm
xavo	xoạp
xaro	xoạt

xe1l	xẹ
xeul	xẹo
xejl	xẹi
xecl	xẹc
xefl	xẹng
xenl	xẹn
xeml	xẹm
xevl	xẹp
xerl	xẹt

xe1o	xoẹ
xeuo	xoẹo
xejo	xoẹi
xeco	xoẹc
xefo	xoẹng
xeno	xoẹn
xemo	xoẹm
xevo	xoẹp
xero	xoẹt

xd1l	xệ
xdul	xệu
xdjl	xệy
xdcl	xệch
xdfl	xệnh
xdnl	xện
xdml	xệm
xdvl	xệp
xdrl	xệt

xd1o	xuệ
xduo	xuệu
xdjo	xuệy
xdco	xuệch
xdfo	xuệnh
xdno	xuện
xdmo	xuệm
xdvo	xuệp
xdro	xuệt

xi1l	xị
xiul	xịu
xijl	xỵ
xicl	xịch
xifl	xịnh
xinl	xịn
ximl	xịm
xivl	xịp
xirl	xịt

xi1o	xuị
xiuo	xuỵu
xijo	xuỵ
xico	xuỵch
xifo	xuỵnh
xino	xuỵn
ximo	xuỵm
xivo	xuỵp
xiro	xuỵt

xk1l	xịa
xkul	xiệu
xkjl	xiệy
xkcl	xiệc
xkfl	xiệng
xknl	xiện
xkml	xiệm
xkvl	xiệp
xkrl	xiệt

xk1o	xuỵa
xkuo	xuyệu
xkjo	xuyệy
xkco	xuyệc
xkfo	xuyệng
xkno	xuyện
xkmo	xuyệm
xkvo	xuyệp
xkro	xuyệt

xl1l	xộ
xlul	xộu
xljl	xội
xlcl	xộc
xlfl	xộng
xlnl	xộn
xlml	xộm
xlvl	xộp
xlrl	xột

xl1o	xoộ
xluo	xoộu
xljo	xoội
xlco	xoộc
xlfo	xoộng
xlno	xoộn
xlmo	xoộm
xlvo	xoộp
xlro	xoột

xs1l	xạnh
xsul	xậu
xsjl	xậy
xscl	xậc
xsfl	xậng
xsnl	xận
xsml	xậm
xsvl	xập
xsrl	xật

xs1o	xoạnh
xsuo	xuậu
xsjo	xuậy
xsco	xuậc
xsfo	xuậng
xsno	xuận
xsmo	xuậm
xsvo	xuập
xsro	xuật

xq1l	xạch
xqul	xạu
xqjl	xạy
xqcl	xặc
xqfl	xặng
xqnl	xặn
xqml	xặm
xqvl	xặp
xqrl	xặt

xq1o	xoạch
xquo	xoạu
xqjo	xoạy
xqco	xoặc
xqfo	xoặng
xqno	xoặn
xqmo	xoặm
xqvo	xoặp
xqro	xoặt

xt1l	xự
xtul	xựu
xtjl	xựi
xtcl	xực
xtfl	xựng
xtnl	xựn
xtml	xựm
xtvl	xựp
xtrl	xựt

xt1o	xựa
xtuo	xượu
xtjo	xượi
xtco	xược
xtfo	xượng
xtno	xượn
xtmo	xượm
xtvo	xượp
xtro	xượt

xp1l	xụ
xpul	xụu
xpjl	xụi
xpcl	xục
xpfl	xụng
xpnl	xụn
xpml	xụm
xpvl	xụp
xprl	xụt

xp1o	xụa
xpuo	xuộu
xpjo	xuội
xpco	xuộc
xpfo	xuộng
xpno	xuộn
xpmo	xuộm
xpvo	xuộp
xpro	xuột

kw1l	khợ
kwul	khợu
kwjl	khợi
kwcl	khợc
kwfl	khợng
kwnl	khợn
kwml	khợm
kwvl	khợp
kwrl	khợt

kw1o	khuợ
kwuo	khuợu
kwjo	khuợi
kwco	khuợc
kwfo	khuợng
kwno	khuợn
kwmo	khuợm
kwvo	khuợp
kwro	khuợt

ko1l	khọ
koul	khọu
kojl	khọi
kocl	khọc
kofl	khọng
konl	khọn
koml	khọm
kovl	khọp
korl	khọt

ko1o	khoọ
kouo	khoọu
kojo	khoọi
koco	khoọc
kofo	khoọng
kono	khoọn
komo	khoọm
kovo	khoọp
koro	khoọt

ka1l	khạ
kaul	khạo
kajl	khại
kacl	khạc
kafl	khạng
kanl	khạn
kaml	khạm
kavl	khạp
karl	khạt

ka1o	khoạ
kauo	khoạo
kajo	khoại
kaco	khoạc
kafo	khoạng
kano	khoạn
kamo	khoạm
kavo	khoạp
karo	khoạt

ke1l	khẹ
keul	khẹo
kejl	khẹi
kecl	khẹc
kefl	khẹng
kenl	khẹn
keml	khẹm
kevl	khẹp
kerl	khẹt

ke1o	khoẹ
keuo	khoẹo
kejo	khoẹi
keco	khoẹc
kefo	khoẹng
keno	khoẹn
kemo	khoẹm
kevo	khoẹp
kero	khoẹt

kd1l	khệ
kdul	khệu
kdjl	khệy
kdcl	khệch
kdfl	khệnh
kdnl	khện
kdml	khệm
kdvl	khệp
kdrl	khệt

kd1o	khuệ
kduo	khuệu
kdjo	khuệy
kdco	khuệch
kdfo	khuệnh
kdno	khuện
kdmo	khuệm
kdvo	khuệp
kdro	khuệt

ki1l	khị
kiul	khịu
kijl	khỵ
kicl	khịch
kifl	khịnh
kinl	khịn
kiml	khịm
kivl	khịp
kirl	khịt

ki1o	khuị
kiuo	khuỵu
kijo	khuỵ
kico	khuỵch
kifo	khuỵnh
kino	khuỵn
kimo	khuỵm
kivo	khuỵp
kiro	khuỵt

kk1l	khịa
kkul	khiệu
kkjl	khiệy
kkcl	khiệc
kkfl	khiệng
kknl	khiện
kkml	khiệm
kkvl	khiệp
kkrl	khiệt

kk1o	khuỵa
kkuo	khuyệu
kkjo	khuyệy
kkco	khuyệc
kkfo	khuyệng
kkno	khuyện
kkmo	khuyệm
kkvo	khuyệp
kkro	khuyệt

kl1l	khộ
klul	khộu
kljl	khội
klcl	khộc
klfl	khộng
klnl	khộn
klml	khộm
klvl	khộp
klrl	khột

kl1o	khoộ
kluo	khoộu
kljo	khoội
klco	khoộc
klfo	khoộng
klno	khoộn
klmo	khoộm
klvo	khoộp
klro	khoột

ks1l	khạnh
ksul	khậu
ksjl	khậy
kscl	khậc
ksfl	khậng
ksnl	khận
ksml	khậm
ksvl	khập
ksrl	khật

ks1o	khoạnh
ksuo	khuậu
ksjo	khuậy
ksco	khuậc
ksfo	khuậng
ksno	khuận
ksmo	khuậm
ksvo	khuập
ksro	khuật

kq1l	khạch
kqul	khạu
kqjl	khạy
kqcl	khặc
kqfl	khặng
kqnl	khặn
kqml	khặm
kqvl	khặp
kqrl	khặt

kq1o	khoạch
kquo	khoạu
kqjo	khoạy
kqco	khoặc
kqfo	khoặng
kqno	khoặn
kqmo	khoặm
kqvo	khoặp
kqro	khoặt

kt1l	khự
ktul	khựu
ktjl	khựi
ktcl	khực
ktfl	khựng
ktnl	khựn
ktml	khựm
ktvl	khựp
ktrl	khựt

kt1o	khựa
ktuo	khượu
ktjo	khượi
ktco	khược
ktfo	khượng
ktno	khượn
ktmo	khượm
ktvo	khượp
ktro	khượt

kp1l	khụ
kpul	khụu
kpjl	khụi
kpcl	khục
kpfl	khụng
kpnl	khụn
kpml	khụm
kpvl	khụp
kprl	khụt

kp1o	khụa
kpuo	khuộu
kpjo	khuội
kpco	khuộc
kpfo	khuộng
kpno	khuộn
kpmo	khuộm
kpvo	khuộp
kpro	khuột

hw1l	hợ
hwul	hợu
hwjl	hợi
hwcl	hợc
hwfl	hợng
hwnl	hợn
hwml	hợm
hwvl	hợp
hwrl	hợt

hw1o	huợ
hwuo	huợu
hwjo	huợi
hwco	huợc
hwfo	huợng
hwno	huợn
hwmo	huợm
hwvo	huợp
hwro	huợt

ho1l	họ
houl	họu
hojl	họi
hocl	học
hofl	họng
honl	họn
homl	họm
hovl	họp
horl	họt

ho1o	hoọ
houo	hoọu
hojo	hoọi
hoco	hoọc
hofo	hoọng
hono	hoọn
homo	hoọm
hovo	hoọp
horo	hoọt

ha1l	hạ
haul	hạo
hajl	hại
hacl	hạc
hafl	hạng
hanl	hạn
haml	hạm
havl	hạp
harl	hạt

ha1o	hoạ
hauo	hoạo
hajo	hoại
haco	hoạc
hafo	hoạng
hano	hoạn
hamo	hoạm
havo	hoạp
haro	hoạt

he1l	hẹ
heul	hẹo
hejl	hẹi
hecl	hẹc
hefl	hẹng
henl	hẹn
heml	hẹm
hevl	hẹp
herl	hẹt

he1o	hoẹ
heuo	hoẹo
hejo	hoẹi
heco	hoẹc
hefo	hoẹng
heno	hoẹn
hemo	hoẹm
hevo	hoẹp
hero	hoẹt

hd1l	hệ
hdul	hệu
hdjl	hệy
hdcl	hệch
hdfl	hệnh
hdnl	hện
hdml	hệm
hdvl	hệp
hdrl	hệt

hd1o	huệ
hduo	huệu
hdjo	huệy
hdco	huệch
hdfo	huệnh
hdno	huện
hdmo	huệm
hdvo	huệp
hdro	huệt

hi1l	hị
hiul	hịu
hijl	hỵ
hicl	hịch
hifl	hịnh
hinl	hịn
himl	hịm
hivl	hịp
hirl	hịt

hi1o	huị
hiuo	huỵu
hijo	huỵ
hico	huỵch
hifo	huỵnh
hino	huỵn
himo	huỵm
hivo	huỵp
hiro	huỵt

hk1l	hịa
hkul	hiệu
hkjl	hiệy
hkcl	hiệc
hkfl	hiệng
hknl	hiện
hkml	hiệm
hkvl	hiệp
hkrl	hiệt

hk1o	huỵa
hkuo	huyệu
hkjo	huyệy
hkco	huyệc
hkfo	huyệng
hkno	huyện
hkmo	huyệm
hkvo	huyệp
hkro	huyệt

hl1l	hộ
hlul	hộu
hljl	hội
hlcl	hộc
hlfl	hộng
hlnl	hộn
hlml	hộm
hlvl	hộp
hlrl	hột

hl1o	hoộ
hluo	hoộu
hljo	hoội
hlco	hoộc
hlfo	hoộng
hlno	hoộn
hlmo	hoộm
hlvo	hoộp
hlro	hoột

hs1l	hạnh
hsul	hậu
hsjl	hậy
hscl	hậc
hsfl	hậng
hsnl	hận
hsml	hậm
hsvl	hập
hsrl	hật

hs1o	hoạnh
hsuo	huậu
hsjo	huậy
hsco	huậc
hsfo	huậng
hsno	huận
hsmo	huậm
hsvo	huập
hsro	huật

hq1l	hạch
hqul	hạu
hqjl	hạy
hqcl	hặc
hqfl	hặng
hqnl	hặn
hqml	hặm
hqvl	hặp
hqrl	hặt

hq1o	hoạch
hquo	hoạu
hqjo	hoạy
hqco	hoặc
hqfo	hoặng
hqno	hoặn
hqmo	hoặm
hqvo	hoặp
hqro	hoặt

ht1l	hự
htul	hựu
htjl	hựi
htcl	hực
htfl	hựng
htnl	hựn
html	hựm
htvl	hựp
htrl	hựt

ht1o	hựa
htuo	hượu
htjo	hượi
htco	hược
htfo	hượng
htno	hượn
htmo	hượm
htvo	hượp
htro	hượt

hp1l	hụ
hpul	hụu
hpjl	hụi
hpcl	hục
hpfl	hụng
hpnl	hụn
hpml	hụm
hpvl	hụp
hprl	hụt

hp1o	hụa
hpuo	huộu
hpjo	huội
hpco	huộc
hpfo	huộng
hpno	huộn
hpmo	huộm
hpvo	huộp
hpro	huột
